,Score2015,Score2016,Score2017,Score2018,Score2019,Score2020
Nicaragua,5.827999999999999,5.992000000000001,6.07100009918213,6.141,6.105,6.1371002197265625
Niger,3.845,3.8560000000000003,4.02799987792969,4.166,4.628,4.909599781036377
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,4.724100112915039
North Cyprus,5.695,5.771,5.80999994277954,5.835,5.718,5.5355000495910645
Norway,7.522,7.497999999999999,7.537000179290769,7.593999999999999,7.553999999999999,7.48799991607666
Pakistan,5.194,5.132000000000001,5.26900005340576,5.472,5.653,5.693299770355225
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.696000000000001,4.552800178527832
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.321000000000001,6.304800033569336
Paraguay,5.877999999999999,5.537999999999999,5.493000030517581,5.681,5.742999999999999,5.6921000480651855
Peru,5.824,5.742999999999999,5.71500015258789,5.662999999999999,5.697,5.796800136566162
Philippines,5.073,5.279,5.42999982833862,5.524,5.631,6.00600004196167
Poland,5.791,5.835,5.97300004959106,6.122999999999999,6.182,6.186299800872803
Portugal,5.102,5.122999999999999,5.19500017166138,5.41,5.693,5.910900115966797
Qatar,6.611000000000001,6.375,6.375,6.374,6.374,6.374
Romania,5.124,5.528,5.824999809265139,5.945,6.07,6.123700141906738
Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.546000003814697
Rwanda,3.465,3.515,3.47099995613098,3.408,3.3339999999999996,3.312299966812134
Saudi Arabia,6.4110000000000005,6.379,6.343999862670901,6.371,6.375,6.406499862670898
Senegal,3.904,4.218999999999999,4.53499984741211,4.631,4.681,4.980800151824951
Serbia,5.122999999999999,5.1770000000000005,5.39499998092651,5.398,5.603,5.778200149536133
Sierra Leone,4.507,4.635,4.70900011062622,4.571000000000001,4.374,3.9263999462127686
Singapore,6.797999999999999,6.739,6.57200002670288,6.343,6.2620000000000005,6.377099990844727
Slovakia,5.995,6.077999999999999,6.09800004959106,6.172999999999999,6.1979999999999995,6.280600070953369
Slovenia,5.848,5.768,5.75799989700317,5.9479999999999995,6.117999999999999,6.363399982452393
Somalia,5.44,5.44,5.151000022888179,4.982,4.668,4.668
Somaliland,5.0569999999999995,5.0569999999999995,5.057,5.057,5.057,5.057
South Africa,4.6419999999999995,4.459,4.8289999961853,4.724,4.7219999999999995,4.8140997886657715
South Korea,5.984,5.835,5.837999820709231,5.875,5.895,5.872399806976318
South Sudan,3.832,3.832,3.5910000801086404,3.2539999999999996,2.853,2.8166000843048096
Spain,6.329,6.361000000000001,6.40299987792969,6.31,6.354,6.400899887084961
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.327000141143799
Sudan,4.55,4.138999999999999,4.138999938964839,4.138999999999999,4.139,4.139
Suriname,6.269,6.269,6.269,6.269,6.269,6.269
Swaziland,4.867,4.5395,4.5395,4.5395,4.212,4.30810022354126
Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.353499889373779
Switzerland,7.587000000000001,7.5089999999999995,7.49399995803833,7.487,7.48,7.559899806976318
Syria,3.0060000000000002,3.069,3.46199989318848,3.4619999999999997,3.4619999999999997,3.462
Taiwan,6.297999999999999,6.379,6.42199993133545,6.441,6.446000000000001,6.446
Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005,5.555699825286865
Tanzania,3.781,3.6660000000000004,3.34899997711182,3.303,3.2310000000000003,3.4762001037597656
Thailand,6.455,6.474,6.4239997863769505,6.072,6.007999999999999,5.998799800872803
Togo,2.839,3.303,3.4949998855590803,3.9989999999999997,4.085,4.18720006942749
Trinidad and Tobago,6.167999999999999,6.167999999999999,6.1680002212524405,6.192,6.192,6.19189977645874
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,4.392199993133545
Turkey,5.332000000000001,5.388999999999999,5.5,5.483,5.372999999999999,5.131800174713135
Turkmenistan,5.547999999999999,5.6579999999999995,5.82200002670288,5.636,5.247000000000001,5.119100093841553
Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,4.432000160217285
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,4.560699939727783
United Arab Emirates,6.901,6.5729999999999995,6.6479997634887695,6.774,6.825,6.790800094604492
United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.053999999999999,7.1645002365112305
United States,7.119,7.104,6.993000030517581,6.886,6.892,6.939599990844727
Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999999,6.440100193023682
Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.1739999999999995,6.257599830627441
Venezuela,6.81,6.084,5.25,4.806,4.707,5.053199768066406
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175,5.353499889373779
Yemen,4.077,3.7239999999999998,3.59299993515015,3.355,3.38,3.527400016784668
Zambia,5.129,4.795,4.513999938964839,4.377,4.107,3.759399890899658
Zimbabwe,4.61,4.1930000000000005,3.875,3.6919999999999997,3.6630000000000003,3.2992000579833984
